alpha,train_score
3.162277660168379e-07,0.1330320458
3.792690190732246e-07,0.1333756644
4.5487779470037777e-07,0.1336324557
5.455594781168515e-07,0.1329445494
6.543189129712968e-07,0.1338704879
7.847599703514607e-07,0.1329592411
9.412049672680671e-07,0.132997767
1.1288378916846883e-06,0.1333494219
1.3538761800225445e-06,0.1325570704
1.6237767391887209e-06,0.132607761
1.947483039908757e-06,0.1328621797
2.335721469090121e-06,0.1328574408
2.80135676119887e-06,0.1328222712
3.359818286283781e-06,0.1321098896
4.029611320200396e-06,0.0862852963
4.832930238571752e-06,0.0755550904
5.796393953384974e-06,0.0529650772
6.951927961775606e-06,0.0399202063
8.337822234717883e-06,0.0497761389
1e-05,0.0396610093
