day_mean_param,momentum_param,half_life,score
5.0,15.0,5.0,0.0319831819
5.0,15.0,15.0,0.032024072
5.0,15.0,25.0,0.0321810249
5.0,15.0,35.0,0.032441498
5.0,15.0,45.0,0.032792527
5.0,15.0,55.0,0.0332144493
5.0,15.0,65.0,0.0336856139
5.0,15.0,75.0,0.0341622866
5.0,15.0,85.0,0.0346599729
5.0,15.0,95.0,0.0351638689
5.0,25.0,5.0,0.030934738
5.0,25.0,15.0,0.0322788362
5.0,25.0,25.0,0.0332780792
5.0,25.0,35.0,0.0338125381
5.0,25.0,45.0,0.0340983633
5.0,25.0,55.0,0.0342613032
5.0,25.0,65.0,0.0343590341
5.0,25.0,75.0,0.0344224594
5.0,25.0,85.0,0.0344674392
5.0,25.0,95.0,0.0344935765
5.0,35.0,5.0,0.0375784261
5.0,35.0,15.0,0.0378660737
5.0,35.0,25.0,0.0379126004
5.0,35.0,35.0,0.0379311677
5.0,35.0,45.0,0.0379411134
5.0,35.0,55.0,0.0379472962
5.0,35.0,65.0,0.037951503
5.0,35.0,75.0,0.0379545895
5.0,35.0,85.0,0.0379568726
5.0,35.0,95.0,0.0379587242
5.0,45.0,5.0,0.0337631192
5.0,45.0,15.0,0.0343532415
5.0,45.0,25.0,0.0344003008
5.0,45.0,35.0,0.0344110045
5.0,45.0,45.0,0.0344145886
5.0,45.0,55.0,0.0344159613
5.0,45.0,65.0,0.0344164193
5.0,45.0,75.0,0.0344157326
5.0,45.0,85.0,0.0344147086
5.0,45.0,95.0,0.0344118017
5.0,55.0,5.0,0.0307979268
5.0,55.0,15.0,0.0307580053
5.0,55.0,25.0,0.0307602144
5.0,55.0,35.0,0.0307705719
5.0,55.0,45.0,0.0307801735
5.0,55.0,55.0,0.0307877952
5.0,55.0,65.0,0.0307938506
5.0,55.0,75.0,0.0307984539
5.0,55.0,85.0,0.0308015195
5.0,55.0,95.0,0.0308038167
5.0,65.0,5.0,0.033247415
5.0,65.0,15.0,0.0345918437
5.0,65.0,25.0,0.0354395717
5.0,65.0,35.0,0.0358492162
5.0,65.0,45.0,0.0360578382
5.0,65.0,55.0,0.0361738458
5.0,65.0,65.0,0.0362432516
5.0,65.0,75.0,0.0362929023
5.0,65.0,85.0,0.0363213261
5.0,65.0,95.0,0.0363520548
5.0,75.0,5.0,0.0305109619
5.0,75.0,15.0,0.0305458124
5.0,75.0,25.0,0.0305624287
5.0,75.0,35.0,0.0305706832
5.0,75.0,45.0,0.0305755708
5.0,75.0,55.0,0.0305787925
5.0,75.0,65.0,0.0305810793
5.0,75.0,75.0,0.0305827507
5.0,75.0,85.0,0.030583855
5.0,75.0,95.0,0.030585084
5.0,85.0,5.0,0.033961973
5.0,85.0,15.0,0.035214799
5.0,85.0,25.0,0.0356708434
5.0,85.0,35.0,0.0358426544
5.0,85.0,45.0,0.0359202538
5.0,85.0,55.0,0.0359604658
5.0,85.0,65.0,0.0359833943
5.0,85.0,75.0,0.0359975588
5.0,85.0,85.0,0.03600551
5.0,85.0,95.0,0.0360112428
5.0,95.0,5.0,0.0333423333
5.0,95.0,15.0,0.0333675957
5.0,95.0,25.0,0.0333813373
5.0,95.0,35.0,0.0333881421
5.0,95.0,45.0,0.0333920729
5.0,95.0,55.0,0.0333946642
5.0,95.0,65.0,0.0333964076
5.0,95.0,75.0,0.0333976176
5.0,95.0,85.0,0.0333992436
5.0,95.0,95.0,0.0334023285
10.0,15.0,5.0,0.0325028878
10.0,15.0,15.0,0.0325730042
10.0,15.0,25.0,0.0325936319
10.0,15.0,35.0,0.0326032376
10.0,15.0,45.0,0.0326087734
10.0,15.0,55.0,0.0326123588
10.0,15.0,65.0,0.0326148319
10.0,15.0,75.0,0.0326166411
10.0,15.0,85.0,0.0326178988
10.0,15.0,95.0,0.0326183644
10.0,25.0,5.0,0.0312127568
10.0,25.0,15.0,0.0312964147
10.0,25.0,25.0,0.0313206833
10.0,25.0,35.0,0.031331948
10.0,25.0,45.0,0.0313384297
10.0,25.0,55.0,0.0313426406
10.0,25.0,65.0,0.0313455093
10.0,25.0,75.0,0.0313477404
10.0,25.0,85.0,0.0313490996
10.0,25.0,95.0,0.0313504817
10.0,35.0,5.0,0.0327660886
10.0,35.0,15.0,0.0328220577
10.0,35.0,25.0,0.0328403645
10.0,35.0,35.0,0.0328490444
10.0,35.0,45.0,0.0328540897
10.0,35.0,55.0,0.0328573909
10.0,35.0,65.0,0.0328597564
10.0,35.0,75.0,0.0328614228
10.0,35.0,85.0,0.0328625819
10.0,35.0,95.0,0.0328642142
10.0,45.0,5.0,0.0322565044
10.0,45.0,15.0,0.0323329231
10.0,45.0,25.0,0.0323552548
10.0,45.0,35.0,0.0323656358
10.0,45.0,45.0,0.0323716183
10.0,45.0,55.0,0.0323755129
10.0,45.0,65.0,0.0323782183
10.0,45.0,75.0,0.0323803327
10.0,45.0,85.0,0.0323820019
10.0,45.0,95.0,0.0323829286
10.0,55.0,5.0,0.0315131465
10.0,55.0,15.0,0.0316141453
10.0,55.0,25.0,0.0316419176
10.0,55.0,35.0,0.0316546832
10.0,55.0,45.0,0.0316620022
10.0,55.0,55.0,0.0316667443
10.0,55.0,65.0,0.0316700416
10.0,55.0,75.0,0.031672579
10.0,55.0,85.0,0.0316743096
10.0,55.0,95.0,0.0316764492
10.0,65.0,5.0,0.0334670702
10.0,65.0,15.0,0.0335509706
10.0,65.0,25.0,0.0335742934
10.0,65.0,35.0,0.0335850427
10.0,65.0,45.0,0.0335912078
10.0,65.0,55.0,0.0335952318
10.0,65.0,65.0,0.0335980627
10.0,65.0,75.0,0.0336002593
10.0,65.0,85.0,0.0336016041
10.0,65.0,95.0,0.033602893
10.0,75.0,5.0,0.0301485784
10.0,75.0,15.0,0.0302703385
10.0,75.0,25.0,0.0303020964
10.0,75.0,35.0,0.0303165411
10.0,75.0,45.0,0.0303247778
10.0,75.0,55.0,0.0303301179
10.0,75.0,65.0,0.0303338679
10.0,75.0,75.0,0.030336688
10.0,75.0,85.0,0.0303386916
10.0,75.0,95.0,0.0303402225
10.0,85.0,5.0,0.0335222173
10.0,85.0,15.0,0.0336317825
10.0,85.0,25.0,0.0336600467
10.0,85.0,35.0,0.0336728768
10.0,85.0,45.0,0.03368019
10.0,85.0,55.0,0.0336849465
10.0,85.0,65.0,0.0336883017
10.0,85.0,75.0,0.0336906998
10.0,85.0,85.0,0.0336925161
10.0,85.0,95.0,0.033694371
10.0,95.0,5.0,0.0334597265
10.0,95.0,15.0,0.033557679
10.0,95.0,25.0,0.0335834442
10.0,95.0,35.0,0.0335951885
10.0,95.0,45.0,0.0336019068
10.0,95.0,55.0,0.0336062464
10.0,95.0,65.0,0.0336092866
10.0,95.0,75.0,0.033611498
10.0,95.0,85.0,0.0336131164
10.0,95.0,95.0,0.0336142647
15.0,15.0,5.0,0.0323866857
15.0,15.0,15.0,0.0323864476
15.0,15.0,25.0,0.0323970656
15.0,15.0,35.0,0.0324028345
15.0,15.0,45.0,0.0324063395
